Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.305626269	0.305626269	0.305626269	0.305626269	0	0	0	0	0	0	3
2	1	0	0.05	0.311737252	0.308681761	0.305626269	0.311737252	0.00305549184	0	0	0	0	0	3
3	1	0	0.075	0.311029992	0.309464504	0.305626269	0.311737252	0.00383823554	0	0	0	0	0	3
4	2	0	0.1	0.310065043	0.309614639	0.305626269	0.311737252	0.00398837033	0	0	0	0	0	3
5	2	0	0.125	0.309585169	0.309608745	0.305626269	0.311737252	0.00398837033	0	0	0	0	0	3
6	2	0	0.15	0.309465994	0.309584953	0.305626269	0.311737252	0.00398837033	0	0	0	0	0	3
7	2	0	0.175	0.290792889	0.306900373	0.290792889	0.311737252	0.00398837033	0	0	0	0	0	3
8	2	0	0.2	0.272888242	0.302648856	0.272888242	0.311737252	0.0069657828	0	0	0	0	0	3
9	2	0	0.225	0.257290919	0.297609085	0.257290919	0.311737252	0.0120055537	0	0	0	0	0	3
10	2	0	0.25	0.236875164	0.291535693	0.236875164	0.311737252	0.0180789458	0	0	0	0	0	3
11	2	0	0.275	0.21752632	0.284807568	0.21752632	0.311737252	0.0248070706	0	0	0	0	0	3
12	2	0	0.3	0.184432099	0.276442946	0.184432099	0.311737252	0.0331716931	0	0	0	0	0	3
13	2	0	0.325	0.169214652	0.268194616	0.169214652	0.311737252	0.0414200234	0	0	0	0	0	3
14	2	0	0.35	0.13664463	0.258798188	0.13664463	0.311737252	0.0508164509	0	0	0	0	0	3
15	2	0	0.375	0.121617773	0.249652827	0.121617773	0.311737252	0.059961812	0	0	0	0	0	3
16	3	0	0.4	0.0843480743	0.23932128	0.0843480743	0.311737252	0.070293359	0	0	0	0	0	3
17	3	0	0.425	0.0659610286	0.229123618	0.0659610286	0.311737252	0.0804910209	0	0	0	0	0	3
18	3	0	0.45	0.0429343601	0.21877977	0.0429343601	0.311737252	0.0908348685	0	0	0	0	0	3
19	3	0	0.475	0.0248849396	0.208574779	0.0248849396	0.311737252	0.10103986	0	0	0	0	0	3
20	3	0	0.5	0.00911756747	0.198601919	0.00911756747	0.311737252	0.11101272	0	0	0	0	0	3
21	3	0	0.525	-0.00825475338	0.182907868	-0.00825475338	0.311737252	0.126706771	0	0	0	0	0	3
22	3	0	0.55	-0.0293964186	0.165851184	-0.0293964186	0.311029992	0.143763455	0	0	0	0	0	3
23	3	0	0.575	-0.0527047753	0.147664446	-0.0527047753	0.310065043	0.161950193	0	0	0	0	0	3
24	3	0	0.6	-0.086276408	0.127847373	-0.086276408	0.309585169	0.181761372	0	0	0	0	0	3
25	3	0	0.625	-0.14700922	0.105017654	-0.14700922	0.309465994	0.204567299	0	0	0	0	0	3
26	3	0	0.65	-0.299677992	0.0745604545	-0.299677992	0.290792889	0.232339918	0	0	0	0	0	3
27	4	0	0.675	-0.467028483	0.0366693859	-0.467028483	0.272888242	0.26597947	0	0	0	0	0	3
28	4	0	0.7	-0.505882576	-0.00226915501	-0.505882576	0.257290919	0.29987824	0	0	0	0	0	3
29	4	0	0.725	-0.505329156	-0.0404001588	-0.505882576	0.236875164	0.331935852	0	0	0	0	0	3
30	4	0	0.75	-0.486077088	-0.0765477714	-0.505882576	0.21752632	0.36135534	0	0	0	0	0	3
31	4	0	0.775	-0.490386998	-0.111943437	-0.505882576	0.184432099	0.388386383	0	0	0	0	0	3
32	4	0	0.8	-0.447907215	-0.143560403	-0.505882576	0.169214652	0.411755019	0	0	0	0	0	3
33	4	0	0.825	-0.466920114	-0.175367141	-0.505882576	0.13664463	0.434165329	0	0	0	0	0	3
34	4	0	0.85	-0.506541469	-0.207526446	-0.506541469	0.121617773	0.457179273	0	0	0	0	0	3
35	4	0	0.875	-0.509692388	-0.239091954	-0.509692388	0.0843480743	0.478413234	0	0	0	0	0	3
36	4	0	0.9	-0.508082102	-0.268713463	-0.509692388	0.0659610286	0.497837081	0	0	0	0	0	3
37	4	0	0.925	-0.491884493	-0.296605739	-0.509692388	0.0429343601	0.51538551	0	0	0	0	0	3
38	4	0	0.95	-0.484673242	-0.322986119	-0.509692388	0.0248849396	0.531560899	0	0	0	0	0	3
39	5	0	0.975	-0.487234397	-0.348592086	-0.509692388	0.00911756747	0.518809955	0	0	0	0	0	3
40	5	0	1	-0.507333908	-0.37441466	-0.509692388	-0.00825475338	0.501437635	0.123108357	0	24.5	0	0	3
