Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	474.342635	474.342635	474.342635	474.342635	0	0	0	0	0	0	3
2	1	0	0.05	477.703897	476.023266	474.342635	477.703897	1.68063144	0	0	0	0	0	3
3	1	0	0.075	477.280502	476.442345	474.342635	477.703897	2.09970998	0	0	0	0	0	3
4	2	0	0.1	481.14461	477.617911	474.342635	481.14461	3.27527645	0	0	0	0	0	3
5	2	0	0.125	480.39431	478.173191	474.342635	481.14461	3.83055624	0	0	0	0	0	3
6	2	0	0.15	481.860978	478.787822	474.342635	481.860978	4.44518737	0	0	0	0	0	3
7	2	0	0.175	481.588597	479.187933	474.342635	481.860978	4.84529816	0	0	0	0	0	3
8	2	0	0.2	482.235635	479.568895	474.342635	482.235635	5.22626093	0	0	0	0	0	3
9	2	0	0.225	482.548761	479.899992	474.342635	482.548761	5.55735708	0	0	0	0	0	3
10	2	0	0.25	482.797114	480.189704	474.342635	482.797114	5.84706937	0	0	0	0	0	3
11	2	0	0.275	483.06799	480.451366	474.342635	483.06799	6.10873177	0	0	0	0	0	3
12	2	0	0.3	483.729755	480.724565	474.342635	483.729755	6.3819308	0	0	0	0	0	3
13	2	0	0.325	484.138248	480.987156	474.342635	484.138248	6.64452177	0	0	0	0	0	3
14	2	0	0.35	484.850899	481.263138	474.342635	484.850899	6.9205034	0	0	0	0	0	3
15	2	0	0.375	485.503115	481.545803	474.342635	485.503115	7.20316852	0	0	0	0	0	3
16	3	0	0.4	486.201536	481.836786	474.342635	486.201536	7.49415182	0	0	0	0	0	3
17	3	0	0.425	487.193337	482.151878	474.342635	487.193337	7.80924306	0	0	0	0	0	3
18	3	0	0.45	487.720235	482.461231	474.342635	487.720235	8.11859626	0	0	0	0	0	3
19	3	0	0.475	488.204576	482.763512	474.342635	488.204576	8.42087758	0	0	0	0	0	3
20	3	0	0.5	488.677677	483.05922	474.342635	488.677677	8.7165858	0	0	0	0	0	3
21	3	0	0.525	489.378706	483.811024	477.280502	489.378706	7.78775795	0	0	0	0	0	3
22	3	0	0.55	489.731855	484.412422	477.280502	489.731855	7.97007728	0	0	0	0	0	3
23	3	0	0.575	490.406581	485.068726	480.39431	490.406581	7.45081481	0	0	0	0	0	3
