Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	223539.911	223539.911	223539.911	223539.911	0	0	0	0	0	0	3
2	1	0	0.05	162985.402	193262.657	162985.402	223539.911	30277.2548	0	0	0	0	0	3
3	1	0	0.075	125058.568	170527.96	125058.568	223539.911	53011.951	0	0	0	0	0	3
4	2	0	0.1	112492.527	156019.102	112492.527	223539.911	67520.8093	0	0	0	0	0	3
5	2	0	0.125	116997.92	148214.866	112492.527	223539.911	75325.0456	0	0	0	0	0	3
6	2	0	0.15	124079.714	144192.34	112492.527	223539.911	79347.571	0	0	0	0	0	3
7	2	0	0.175	129210.701	142052.106	112492.527	223539.911	81487.8052	0	0	0	0	0	3
8	2	0	0.2	130540.986	140613.216	112492.527	223539.911	82926.6952	0	0	0	0	0	3
9	2	0	0.225	131167.708	139563.715	112492.527	223539.911	83976.1961	0	0	0	0	0	3
10	2	0	0.25	132075.766	138814.92	112492.527	223539.911	84724.9911	0	0	0	0	0	3
11	2	0	0.275	138302.07	138768.297	112492.527	223539.911	84771.6138	0	0	0	0	0	3
12	2	0	0.3	141489.054	138995.027	112492.527	223539.911	84771.6138	0	0	0	0	0	3
13	2	0	0.325	143405.768	139334.315	112492.527	223539.911	84771.6138	0	0	0	0	0	3
14	2	0	0.35	144695.85	139717.282	112492.527	223539.911	84771.6138	0	0	0	0	0	3
15	2	0	0.375	145098.142	140076.006	112492.527	223539.911	84771.6138	0	0	0	0	0	3
16	3	0	0.4	146468.16	140475.515	112492.527	223539.911	84771.6138	0	0	0	0	0	3
17	3	0	0.425	147214.603	140871.932	112492.527	223539.911	84771.6138	0	0	0	0	0	3
18	3	0	0.45	149139.311	141331.231	112492.527	223539.911	84771.6138	0	0	0	0	0	3
19	3	0	0.475	150572.379	141817.607	112492.527	223539.911	84771.6138	0	0	0	0	0	3
20	3	0	0.5	151834.491	142318.452	112492.527	223539.911	84771.6138	0	0	0	0	0	3
21	3	0	0.525	153629.215	138822.917	112492.527	162985.402	50492.8747	0	0	0	0	0	3
22	3	0	0.55	156112.454	138479.269	112492.527	156112.454	32048.691	0	0	0	0	0	3
