Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.198571	293.198571	293.198571	293.198571	0	0	0	0	0	0	3
2	1	0	0.05	293.196974	293.197773	293.196974	293.198571	0.000798204539	0	0	0	0	0	3
3	1	0	0.075	293.194868	293.196804	293.194868	293.198571	0.00176653318	0	0	0	0	0	3
4	2	0	0.1	293.191736	293.195537	293.191736	293.198571	0.00303349828	0	0	0	0	0	3
5	2	0	0.125	293.187484	293.193927	293.187484	293.198571	0.00464416633	0	0	0	0	0	3
6	2	0	0.15	293.180063	293.191616	293.180063	293.198571	0.00695475654	0	0	0	0	0	3
7	2	0	0.175	293.172263	293.188851	293.172263	293.198571	0.00971944542	0	0	0	0	0	3
8	2	0	0.2	293.164997	293.18587	293.164997	293.198571	0.012701246	0	0	0	0	0	3
9	2	0	0.225	293.158739	293.182855	293.158739	293.198571	0.0157157861	0	0	0	0	0	3
10	2	0	0.25	293.153656	293.179935	293.153656	293.198571	0.0186357026	0	0	0	0	0	3
11	2	0	0.275	293.148341	293.177063	293.148341	293.198571	0.0215078964	0	0	0	0	0	3
12	2	0	0.3	293.147197	293.174574	293.147197	293.198571	0.0239967268	0	0	0	0	0	3
13	2	0	0.325	293.150122	293.172693	293.147197	293.198571	0.0258776432	0	0	0	0	0	3
14	2	0	0.35	293.155723	293.171481	293.147197	293.198571	0.0270898142	0	0	0	0	0	3
15	2	0	0.375	293.163094	293.170922	293.147197	293.198571	0.0276489604	0	0	0	0	0	3
16	3	0	0.4	293.173904	293.171108	293.147197	293.198571	0.0276489604	0	0	0	0	0	3
17	3	0	0.425	293.181878	293.171742	293.147197	293.198571	0.0276489604	0	0	0	0	0	3
18	3	0	0.45	293.186414	293.172557	293.147197	293.198571	0.0276489604	0	0	0	0	0	3
19	3	0	0.475	293.188443	293.173393	293.147197	293.198571	0.0276489604	0	0	0	0	0	3
20	3	0	0.5	293.18915	293.174181	293.147197	293.198571	0.0276489604	0	0	0	0	0	3
21	3	0	0.525	293.18969	293.173737	293.147197	293.196974	0.0268507558	0	0	0	0	0	3
22	3	0	0.55	293.190064	293.173391	293.147197	293.194868	0.0258824272	0	0	0	0	0	3
23	3	0	0.575	293.190673	293.173182	293.147197	293.191736	0.0246154621	0	0	0	0	0	3
24	3	0	0.6	293.190343	293.173112	293.147197	293.190673	0.023004794	0	0	0	0	0	3
25	3	0	0.625	293.190157	293.173246	293.147197	293.190673	0.0206942038	0	0	0	0	0	3
26	3	0	0.65	293.189617	293.173723	293.147197	293.190673	0.0179295149	0	0	0	0	0	3
27	4	0	0.675	293.189194	293.17457	293.147197	293.190673	0.0149477144	0	0	0	0	0	3
28	4	0	0.7	293.188845	293.175762	293.147197	293.190673	0.0119331743	0	0	0	0	0	3
29	4	0	0.725	293.188683	293.177259	293.147197	293.190673	0.00901325778	0	0	0	0	0	3
30	4	0	0.75	293.188983	293.179026	293.147197	293.190673	0.00810391661	0	0	0	0	0	3
31	4	0	0.775	293.189397	293.181079	293.147197	293.190673	0.0101567148	0	0	0	0	0	3
32	4	0	0.8	293.189861	293.183212	293.150122	293.190673	0.0122899371	0	0	0	0	0	3
33	4	0	0.825	293.190417	293.185227	293.155723	293.190673	0.014304661	0	0	0	0	0	3
34	4	0	0.85	293.191135	293.186997	293.163094	293.191135	0.0160752556	0	0	0	0	0	3
35	4	0	0.875	293.191599	293.188422	293.173904	293.191599	0.017314137	0	0	0	0	0	3
36	4	0	0.9	293.192934	293.189374	293.181878	293.192934	0.0110558281	0	0	0	0	0	3
37	4	0	0.925	293.193822	293.189971	293.186414	293.193822	0.00740809159	0	0	0	0	0	3
38	4	0	0.95	293.194719	293.190386	293.188443	293.194719	0.00627618453	0	0	0	0	0	3
39	5	0	0.975	293.195229	293.190726	293.188683	293.195229	0.00654657739	0	0	0	0	0	3
40	5	0	1	293.195774	293.191057	293.188683	293.195774	0.00709100021	0.00728649236	0	100	0	0	3
41	5	0	1.025	293.196408	293.191393	293.188683	293.196408	0.00772537084	0.00738164795	0	95.5	0	0	3
42	5	0	1.05	293.196987	293.191739	293.188683	293.196987	0.00830457462	0.00742508824	0	89.4	0	0	3
43	5	0	1.075	293.197642	293.192087	293.188683	293.197642	0.00895909899	0.00747229455	0	83.4	0	0	3
44	5	0	1.1	293.198086	293.192373	293.188683	293.198086	0.00940344354	0.00751256063	0	79.8	0	0	3
45	5	0	1.125	293.198389	293.192756	293.188683	293.198389	0.00970642546	0.00754580973	0	77.7	0	0	3
46	5	0	1.15	293.198561	293.193156	293.188683	293.198561	0.00987877933	0.00757228465	0	76.6	0	0	3
47	5	0	1.175	293.198673	293.193588	293.188683	293.198673	0.00999066105	0.00759359277	0	76	0	0	3
48	5	0	1.2	293.198776	293.194044	293.188683	293.198776	0.0100929315	0.00761149143	0	75.4	0	0	3
49	5	0	1.225	293.19881	293.194518	293.188683	293.19881	0.0101269296	0.00762597924	0	75.3	0	0	3
50	6	0	1.25	293.199159	293.195017	293.188983	293.199159	0.0101765446	0.00764281838	0	75.1	0	0	3
51	6	0	1.275	293.199192	293.195503	293.189397	293.199192	0.0097953305	0.00765704381	0	78.1	0	0	3
52	6	0	1.3	293.199312	293.195975	293.189861	293.199312	0.00945092915	0.00767039902	0	81.1	0	0	3
53	6	0	1.325	293.199367	293.196428	293.190417	293.199367	0.00895047917	0.00764857936	0	85.4	0	0	3
54	6	0	1.35	293.199602	293.196866	293.191135	293.199602	0.00846684026	0.00757238155	0	89.4	0	0	3
55	6	0	1.375	293.199536	293.197266	293.191599	293.199602	0.00800252875	0.00743263314	0	92.8	0	0	3
56	6	0	1.4	293.19962	293.197648	293.192934	293.19962	0.0066854583	0.00728649236	0	100	0	0	3
57	6	0	1.425	293.199552	293.197963	293.193822	293.19962	0.00579738647	0.00728649236	0	100	0	0	3
58	6	0	1.45	293.199929	293.198253	293.194719	293.199929	0.00521030807	0.00728649236	0	100	0	0	3
59	6	0	1.475	293.199869	293.198499	293.195229	293.199929	0.0047002623	0.00728649236	0	100	0	0	3
60	6	0	1.5	293.199788	293.198716	293.195774	293.199929	0.00415583948	0.00728649236	0	100	0	0	3
61	6	0	1.525	293.19976	293.198906	293.196408	293.199929	0.00352146885	0.00728649236	0	100	0	0	3
62	7	0	1.55	293.199826	293.199068	293.196987	293.199929	0.00294226507	0.00728649236	0	100	0	0	3
63	7	0	1.575	293.199722	293.199199	293.197642	293.199929	0.0022877407	0.00728649236	0	100	0	0	3
64	7	0	1.6	293.199677	293.199296	293.198086	293.199929	0.00184339615	0.00728649236	0	100	0	0	3
65	7	0	1.625	293.199664	293.199371	293.198389	293.199929	0.00154041423	0.00728649236	0	100	0	0	3
66	7	0	1.65	293.199908	293.199443	293.198561	293.199929	0.00136806035	0.00728649236	0	100	0	0	3
67	7	0	1.675	293.199799	293.199502	293.198673	293.199929	0.00125617863	0.00728649236	0	100	0	0	3
68	7	0	1.7	293.19984	293.199557	293.198776	293.199929	0.00115390821	0.00728649236	0	100	0	0	3
69	7	0	1.725	293.199662	293.1996	293.19881	293.199929	0.0011199101	0.00728649236	0	100	0	0	3
