Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	102270.19	102270.19	102270.19	102270.19	0	0	0	0	0	0	3
2	1	0	0.05	101670.222	101970.206	101670.222	102270.19	299.983837	0	0	0	0	0	3
3	1	0	0.075	101532.304	101824.239	101532.304	102270.19	445.950995	0	0	0	0	0	3
4	2	0	0.1	101475.401	101737.029	101475.401	102270.19	533.16044	0	0	0	0	0	3
5	2	0	0.125	101490.678	101687.759	101475.401	102270.19	582.430713	0	0	0	0	0	3
6	2	0	0.15	101525.015	101660.635	101475.401	102270.19	609.554664	0	0	0	0	0	3
7	2	0	0.175	101579.533	101649.049	101475.401	102270.19	621.14073	0	0	0	0	0	3
8	2	0	0.2	101619.206	101645.319	101475.401	102270.19	624.871169	0	0	0	0	0	3
9	2	0	0.225	101658.343	101646.766	101475.401	102270.19	624.871169	0	0	0	0	0	3
10	2	0	0.25	101712.908	101653.38	101475.401	102270.19	624.871169	0	0	0	0	0	3
11	2	0	0.275	101801.081	101666.807	101475.401	102270.19	624.871169	0	0	0	0	0	3
12	2	0	0.3	101848.079	101681.913	101475.401	102270.19	624.871169	0	0	0	0	0	3
13	2	0	0.325	101883.015	101697.383	101475.401	102270.19	624.871169	0	0	0	0	0	3
14	2	0	0.35	101863.26	101709.231	101475.401	102270.19	624.871169	0	0	0	0	0	3
15	2	0	0.375	101875.619	101720.324	101475.401	102270.19	624.871169	0	0	0	0	0	3
16	3	0	0.4	101835.672	101727.533	101475.401	102270.19	624.871169	0	0	0	0	0	3
17	3	0	0.425	101813.857	101732.611	101475.401	102270.19	624.871169	0	0	0	0	0	3
18	3	0	0.45	101713.984	101731.576	101475.401	102270.19	624.871169	0	0	0	0	0	3
19	3	0	0.475	101620.873	101725.749	101475.401	102270.19	624.871169	0	0	0	0	0	3
20	3	0	0.5	101473.534	101713.139	101473.534	102270.19	624.871169	0	0	0	0	0	3
21	3	0	0.525	101211.817	101660.22	101211.817	101883.015	324.887331	0	0	0	0	0	3
22	3	0	0.55	100765.293	101614.974	100765.293	101883.015	209.265171	0	0	0	0	0	3
23	3	0	0.575	100225.627	101549.64	100225.627	101883.015	187.38958	0	0	0	0	0	3
24	3	0	0.6	99585.0895	101455.124	99585.0895	101883.015	277.486539	0	0	0	0	0	3
25	3	0	0.625	98945.2823	101327.854	98945.2823	101883.015	404.756323	0	0	0	0	0	3
26	3	0	0.65	98385.5232	101170.88	98385.5232	101883.015	561.730933	0	0	0	0	0	3
27	4	0	0.675	98061.5649	100994.981	98061.5649	101883.015	737.629321	0	0	0	0	0	3
28	4	0	0.7	97994.4663	100813.744	97994.4663	101883.015	918.866282	0	0	0	0	0	3
29	4	0	0.725	98305.5599	100646.105	97994.4663	101883.015	1086.50542	0	0	0	0	0	3
30	4	0	0.75	98887.9959	100504.86	97994.4663	101883.015	1227.75102	0	0	0	0	0	3
31	4	0	0.775	99741.9935	100401.905	97994.4663	101883.015	1330.70542	0	0	0	0	0	3
32	4	0	0.8	100553.94	100337.198	97994.4663	101883.015	1395.41238	0	0	0	0	0	3
33	4	0	0.825	101117.656	100298.93	97994.4663	101875.619	1433.68034	0	0	0	0	0	3
34	4	0	0.85	101402.491	100275.892	97994.4663	101875.619	1456.71878	0	0	0	0	0	3
35	4	0	0.875	101506.155	100257.419	97994.4663	101835.672	1475.19197	0	0	0	0	0	3
36	4	0	0.9	101428.07	100237.039	97994.4663	101813.857	1495.57206	0	0	0	0	0	3
37	4	0	0.925	101317.981	100212.245	97994.4663	101713.984	1519.33103	0	0	0	0	0	3
38	4	0	0.95	101199.677	100186.53	97994.4663	101620.873	1539.21992	0	0	0	0	0	3
39	5	0	0.975	101103.027	100160.637	97994.4663	101506.155	1552.50144	0	0	0	0	0	3
40	5	0	1	101023.789	100138.15	97994.4663	101506.155	1522.0701	583.282356	0	38.3	0	0	3
41	5	0	1.025	101004.777	100127.798	97994.4663	101506.155	1487.1757	583.282356	0	39.2	0	0	3
42	5	0	1.05	100962.069	100137.637	97994.4663	101506.155	1421.84184	583.282356	0	41	0	0	3
43	5	0	1.075	100934.798	100173.095	97994.4663	101506.155	1327.32627	583.282356	0	43.9	0	0	3
44	5	0	1.1	100876.096	100206.571	97994.4663	101506.155	1327.32627	583.282356	0	43.9	0	0	3
45	5	0	1.125	100820.085	100265.381	97994.4663	101506.155	1200.05648	583.282356	0	48.6	0	0	3
46	5	0	1.15	100758.419	100351.721	97994.4663	101506.155	1043.08187	583.282356	0	55.9	0	0	3
47	5	0	1.175	100755.078	100464.557	97994.4663	101506.155	867.183486	583.282356	0	67.2	0	0	3
48	5	0	1.2	100824.492	100596.125	97994.4663	101506.155	685.946525	583.282356	0	85	0	0	3
49	5	0	1.225	100910.178	100734.968	98305.5599	101506.155	607.170022	583.282356	0	96	0	0	3
50	6	0	1.25	101001.096	100863.327	98887.9959	101506.155	735.528903	583.282356	0	79.3	0	0	3
51	6	0	1.275	101060.606	100966.784	99741.9935	101506.155	838.986548	583.282356	0	69.5	0	0	3
52	6	0	1.3	101115.159	101032.173	100553.94	101506.155	904.37538	583.282356	0	64.4	0	0	3
53	6	0	1.325	101155.398	101060.814	100755.078	101506.155	751.076467	583.282356	0	77.6	0	0	3
54	6	0	1.35	101183.518	101063.95	100755.078	101506.155	751.076467	583.282356	0	77.6	0	0	3
55	6	0	1.375	101214.032	101054.976	100755.078	101506.155	751.076467	583.282356	0	77.6	0	0	3
56	6	0	1.4	101215.278	101041.125	100755.078	101428.07	672.992193	583.282356	0	86.6	0	0	3
57	6	0	1.425	101223.08	101031.364	100755.078	101317.981	562.902815	583.282356	0	100	0	0	3
58	6	0	1.45	101199.286	101025.711	100755.078	101223.08	468.002293	583.282356	0	100	0	0	3
59	6	0	1.475	101176.029	101024.585	100755.078	101223.08	468.002293	583.282356	0	100	0	0	3
60	6	0	1.5	101161.263	101027.359	100755.078	101223.08	468.002293	583.282356	0	100	0	0	3
61	6	0	1.525	101170.622	101034.351	100755.078	101223.08	468.002293	583.282356	0	100	0	0	3
62	7	0	1.55	101185.128	101042.939	100755.078	101223.08	468.002293	583.282356	0	100	0	0	3
63	7	0	1.575	101188.844	101053.738	100755.078	101223.08	468.002293	583.282356	0	100	0	0	3
64	7	0	1.6	101195.424	101066.148	100755.078	101223.08	468.002293	583.282356	0	100	0	0	3
65	7	0	1.625	101190.449	101081.118	100755.078	101223.08	468.002293	583.282356	0	100	0	0	3
66	7	0	1.65	101189.133	101098.691	100755.078	101223.08	468.002293	583.282356	0	100	0	0	3
67	7	0	1.675	101193.872	101119.427	100755.078	101223.08	468.002293	583.282356	0	100	0	0	3
68	7	0	1.7	101201.997	101140.709	100824.492	101223.08	398.5885	583.282356	0	100	0	0	3
69	7	0	1.725	101213.134	101159.216	100910.178	101223.08	312.902085	583.282356	0	100	0	0	3
