Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	1.21428119	1.21428119	1.21428119	1.21428119	0	0	0	0	0	0	3
2	1	0	0.05	1.236951	1.22561609	1.21428119	1.236951	0.0113349037	0	0	0	0	0	3
3	1	0	0.075	1.25219275	1.23447498	1.21428119	1.25219275	0.0201937906	0	0	0	0	0	3
4	2	0	0.1	1.26691385	1.2425847	1.21428119	1.26691385	0.0283035074	0	0	0	0	0	3
5	2	0	0.125	1.28030952	1.25012966	1.21428119	1.28030952	0.0358484718	0	0	0	0	0	3
6	2	0	0.15	1.30164136	1.25871494	1.21428119	1.30164136	0.0444337553	0	0	0	0	0	3
7	2	0	0.175	1.32237162	1.26780875	1.21428119	1.32237162	0.0535275662	0	0	0	0	0	3
8	2	0	0.2	1.34180384	1.27705814	1.21428119	1.34180384	0.0627769519	0	0	0	0	0	3
9	2	0	0.225	1.36139024	1.28642837	1.21428119	1.36139024	0.0721471848	0	0	0	0	0	3
10	2	0	0.25	1.38197964	1.2959835	1.21428119	1.38197964	0.0817023118	0	0	0	0	0	3
11	2	0	0.275	1.39281925	1.30478675	1.21428119	1.39281925	0.0905055619	0	0	0	0	0	3
12	2	0	0.3	1.40140172	1.312838	1.21428119	1.40140172	0.0985568093	0	0	0	0	0	3
13	2	0	0.325	1.40926279	1.32025529	1.21428119	1.40926279	0.105974101	0	0	0	0	0	3
14	2	0	0.35	1.40864991	1.32656919	1.21428119	1.40926279	0.112288002	0	0	0	0	0	3
15	2	0	0.375	1.40667275	1.33190943	1.21428119	1.40926279	0.11762824	0	0	0	0	0	3
16	3	0	0.4	1.39215504	1.33567478	1.21428119	1.40926279	0.12139359	0	0	0	0	0	3
17	3	0	0.425	1.37146843	1.33778029	1.21428119	1.40926279	0.123499099	0	0	0	0	0	3
18	3	0	0.45	1.33427144	1.33758535	1.21428119	1.40926279	0.123499099	0	0	0	0	0	3
19	3	0	0.475	1.28790392	1.33497054	1.21428119	1.40926279	0.123499099	0	0	0	0	0	3
20	3	0	0.5	1.22160175	1.3293021	1.21428119	1.40926279	0.123499099	0	0	0	0	0	3
21	3	0	0.525	1.09335621	1.32325585	1.09335621	1.40926279	0.112164195	0	0	0	0	0	3
22	3	0	0.55	0.913448875	1.30708074	0.913448875	1.40926279	0.103305308	0	0	0	0	0	3
23	3	0	0.575	0.686006304	1.27877142	0.686006304	1.40926279	0.0951955916	0	0	0	0	0	3
24	3	0	0.6	0.431287658	1.23699011	0.431287658	1.40926279	0.100790174	0	0	0	0	0	3
25	3	0	0.625	0.388996405	1.19242446	0.388996405	1.40926279	0.14535583	0	0	0	0	0	3
