Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	4.62010038e-05	4.62010038e-05	4.62010038e-05	4.62010038e-05	0	0	0	0	0	0	3
2	1	0	0.05	-4.99490558e-06	2.06030491e-05	-4.99490558e-06	4.62010038e-05	2.55979547e-05	0	0	0	0	0	3
3	1	0	0.075	-2.5095192e-06	1.28988597e-05	-4.99490558e-06	4.62010038e-05	3.33021441e-05	0	0	0	0	0	3
4	2	0	0.1	-2.67345179e-06	9.00578179e-06	-4.99490558e-06	4.62010038e-05	3.7195222e-05	0	0	0	0	0	3
5	2	0	0.125	-3.02462519e-06	6.5997004e-06	-4.99490558e-06	4.62010038e-05	3.96013034e-05	0	0	0	0	0	3
6	2	0	0.15	2.11641065e-06	5.85248544e-06	-4.99490558e-06	4.62010038e-05	4.03485183e-05	0	0	0	0	0	3
7	2	0	0.175	2.13892211e-06	5.32197639e-06	-4.99490558e-06	4.62010038e-05	4.08790274e-05	0	0	0	0	0	3
8	2	0	0.2	1.83432585e-06	4.88602007e-06	-4.99490558e-06	4.62010038e-05	4.13149837e-05	0	0	0	0	0	3
9	2	0	0.225	2.05697182e-06	4.57168138e-06	-4.99490558e-06	4.62010038e-05	4.16293224e-05	0	0	0	0	0	3
10	2	0	0.25	3.51910867e-06	4.46642411e-06	-4.99490558e-06	4.62010038e-05	4.17345796e-05	0	0	0	0	0	3
11	2	0	0.275	1.0773221e-05	5.03976928e-06	-4.99490558e-06	4.62010038e-05	4.17345796e-05	0	0	0	0	0	3
12	2	0	0.3	2.70210176e-05	6.87153997e-06	-4.99490558e-06	4.62010038e-05	4.17345796e-05	0	0	0	0	0	3
13	2	0	0.325	1.88914607e-05	7.79614926e-06	-4.99490558e-06	4.62010038e-05	4.17345796e-05	0	0	0	0	0	3
14	2	0	0.35	-1.49254078e-06	7.1326714e-06	-4.99490558e-06	4.62010038e-05	4.17345796e-05	0	0	0	0	0	3
15	2	0	0.375	-9.26934184e-06	6.03920385e-06	-9.26934184e-06	4.62010038e-05	4.17345796e-05	0	0	0	0	0	3
16	3	0	0.4	-3.18765451e-05	3.66946954e-06	-3.18765451e-05	4.62010038e-05	4.25315342e-05	0	0	0	0	0	3
