Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	154093.944	154093.944	154093.944	154093.944	0	0	0	0	0	0	3
2	1	0	0.05	125020.572	139557.258	125020.572	154093.944	14536.6859	0	0	0	0	0	3
3	1	0	0.075	106945.337	128686.617	106945.337	154093.944	25407.3262	0	0	0	0	0	3
4	2	0	0.1	101026.905	121771.689	101026.905	154093.944	32322.2544	0	0	0	0	0	3
5	2	0	0.125	103200.974	118057.546	101026.905	154093.944	36036.3973	0	0	0	0	0	3
6	2	0	0.15	106602.122	116148.309	101026.905	154093.944	37945.6347	0	0	0	0	0	3
7	2	0	0.175	109067.314	115136.738	101026.905	154093.944	38957.2054	0	0	0	0	0	3
8	2	0	0.2	109708.12	114458.161	101026.905	154093.944	39635.7827	0	0	0	0	0	3
9	2	0	0.225	110017.673	113964.773	101026.905	154093.944	40129.1703	0	0	0	0	0	3
10	2	0	0.25	110467.587	113615.055	101026.905	154093.944	40478.8889	0	0	0	0	0	3
11	2	0	0.275	113661.915	113619.315	101026.905	154093.944	40478.8889	0	0	0	0	0	3
12	2	0	0.3	115255.637	113755.675	101026.905	154093.944	40478.8889	0	0	0	0	0	3
13	2	0	0.325	116172.421	113941.578	101026.905	154093.944	40478.8889	0	0	0	0	0	3
14	2	0	0.35	116786.801	114144.809	101026.905	154093.944	40478.8889	0	0	0	0	0	3
15	2	0	0.375	116964.295	114332.774	101026.905	154093.944	40478.8889	0	0	0	0	0	3
16	3	0	0.4	117618.593	114538.138	101026.905	154093.944	40478.8889	0	0	0	0	0	3
17	3	0	0.425	117963.621	114739.637	101026.905	154093.944	40478.8889	0	0	0	0	0	3
18	3	0	0.45	118867.227	114968.948	101026.905	154093.944	40478.8889	0	0	0	0	0	3
19	3	0	0.475	119524.817	115208.73	101026.905	154093.944	40478.8889	0	0	0	0	0	3
20	3	0	0.5	120114.87	115454.037	101026.905	154093.944	40478.8889	0	0	0	0	0	3
21	3	0	0.525	120959.519	113797.316	101026.905	125020.572	23993.6669	0	0	0	0	0	3
22	3	0	0.55	122091.557	113650.865	101026.905	122091.557	15071.5627	0	0	0	0	0	3
23	3	0	0.575	122940.952	114450.646	101026.905	122940.952	8156.63454	0	0	0	0	0	3
24	3	0	0.6	123919.999	115595.301	103200.974	123919.999	4442.49157	0	0	0	0	0	3
25	3	0	0.625	124759.686	116673.236	106602.122	124759.686	3058.18159	0	0	0	0	0	3
26	3	0	0.65	125878.858	117637.073	109067.314	125878.858	4022.01839	0	0	0	0	0	3
27	4	0	0.675	126991.337	118533.274	109708.12	126991.337	4918.21957	0	0	0	0	0	3
28	4	0	0.7	128401.758	119467.956	110017.673	128401.758	5852.9015	0	0	0	0	0	3
29	4	0	0.725	129801.698	120457.158	110467.587	129801.698	6842.10276	0	0	0	0	0	3
30	4	0	0.75	131092.578	121488.407	113661.915	131092.578	7869.09232	0	0	0	0	0	3
31	4	0	0.775	132246.121	122417.617	115255.637	132246.121	8766.75206	0	0	0	0	0	3
32	4	0	0.8	133583.242	123333.998	116172.421	133583.242	9683.13233	0	0	0	0	0	3
33	4	0	0.825	134661.006	124258.427	116786.801	134661.006	10607.5616	0	0	0	0	0	3
34	4	0	0.85	135458.819	125192.028	116964.295	135458.819	11541.1625	0	0	0	0	0	3
35	4	0	0.875	136036.524	126145.639	117618.593	136036.524	12494.7739	0	0	0	0	0	3
36	4	0	0.9	136650.055	127097.212	117963.621	136650.055	13446.347	0	0	0	0	0	3
37	4	0	0.925	137176.152	128057.839	118867.227	137176.152	14406.9736	0	0	0	0	0	3
38	4	0	0.95	137792.169	129004.086	119524.817	137792.169	15353.2206	0	0	0	0	0	3
39	5	0	0.975	138355.81	129945.636	120114.87	138355.81	16294.7702	0	0	0	0	0	3
40	5	0	1	138861.312	130882.958	120959.519	138861.312	17232.0923	5675.16104	0	0	0	0	3
41	5	0	1.025	139255.811	131797.772	122091.557	139255.811	17164.2538	5734.33592	0	0	0	0	3
42	5	0	1.05	139725.069	132679.448	122940.952	139725.069	16784.1166	5769.53027	0	0	0	0	3
43	5	0	1.075	140184.247	133541.613	123919.999	140184.247	16264.2483	5804.22063	0	0	0	0	3
44	5	0	1.1	140585.65	133877.043	123919.999	140585.65	16665.6506	5755.09079	0	0	0	0	3
45	5	0	1.125	140889.929	134685.135	124759.686	140889.929	16130.2427	5675.16104	0	0	0	0	3
46	5	0	1.15	141240.349	135469.928	125878.858	141240.349	15361.4906	5675.16104	0	0	0	0	3
47	5	0	1.175	141534.072	136215.415	126991.337	141534.072	14542.7343	5675.16104	0	0	0	0	3
48	5	0	1.2	141853.415	136923.133	128401.758	141853.415	13451.6565	5675.16104	0	0	0	0	3
49	5	0	1.225	142084.532	137574.693	129801.698	142084.532	12282.8337	5675.16104	0	0	0	0	3
50	6	0	1.25	142279.58	138168.878	131092.578	142279.58	11187.002	5675.16104	0	0	0	0	3
51	6	0	1.275	142435.553	138709.02	132246.121	142435.553	10189.4321	5675.16104	0	0	0	0	3
52	6	0	1.3	142537.27	139199.074	133583.242	142537.27	8954.02741	5675.16104	0	0	0	0	3
53	6	0	1.325	142620.169	139629.404	134661.006	142620.169	7959.16357	5675.16104	0	0	0	0	3
54	6	0	1.35	142726.021	140013.453	135458.819	142726.021	7267.20205	5675.16104	0	0	0	0	3
55	6	0	1.375	142862.472	140366.008	136036.524	142862.472	6825.94844	5675.16104	0	0	0	0	3
56	6	0	1.4	142913.648	140693.49	136650.055	142913.648	6263.59339	5675.16104	0	0	0	0	3
57	6	0	1.425	143036.459	140997.604	137176.152	143036.459	5860.30637	5675.16104	0	0	0	0	3
58	6	0	1.45	143088.039	141279.123	137792.169	143088.039	5295.87033	5675.16104	0	0	0	0	3
59	6	0	1.475	143126.526	141533.14	138355.81	143126.526	4770.71671	5675.16104	0	0	0	0	3
60	6	0	1.5	143155.818	141761.711	138861.312	143155.818	4294.50597	5675.16104	0	0	0	0	3
61	6	0	1.525	143294.619	141972.821	139255.811	143294.619	4038.80803	5675.16104	0	0	0	0	3
62	7	0	1.55	143366.232	142168.556	139725.069	143366.232	3641.16305	5675.16104	0	0	0	0	3
63	7	0	1.575	143497.857	142348.212	140184.247	143497.857	3313.60972	5675.16104	0	0	0	0	3
64	7	0	1.6	143608.701	142511.281	140585.65	143608.701	3023.05159	5675.16104	0	0	0	0	3
65	7	0	1.625	143764.785	142662.669	140889.929	143764.785	2874.85622	5675.16104	0	0	0	0	3
66	7	0	1.65	143834.259	142802.875	141240.349	143834.259	2593.90978	5675.16104	0	0	0	0	3
67	7	0	1.675	144020.882	142935.281	141534.072	144020.882	2486.80997	5675.16104	0	0	0	0	3
68	7	0	1.7	144147.536	143059.732	141853.415	144147.536	2294.12104	5675.16104	0	0	0	0	3
69	7	0	1.725	144346.569	143178.454	142084.532	144346.569	2262.03684	5675.16104	0	0	0	0	3
