Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.199983	293.199983	293.199983	293.199983	0	0	0	0	0	0	3
2	1	0	0.05	293.200003	293.199993	293.199983	293.200003	9.65302462e-06	0	0	0	0	0	3
3	1	0	0.075	293.200039	293.200008	293.199983	293.200039	2.49813141e-05	0	0	0	0	0	3
4	2	0	0.1	293.200091	293.200029	293.199983	293.200091	4.55941295e-05	0	0	0	0	0	3
5	2	0	0.125	293.20015	293.200053	293.199983	293.20015	6.98413292e-05	0	0	0	0	0	3
6	2	0	0.15	293.200245	293.200085	293.199983	293.200245	0.000101751098	0	0	0	0	0	3
7	2	0	0.175	293.200342	293.200122	293.199983	293.200342	0.000138376065	0	0	0	0	0	3
8	2	0	0.2	293.200448	293.200163	293.199983	293.200448	0.000179089181	0	0	0	0	0	3
9	2	0	0.225	293.200564	293.200207	293.199983	293.200564	0.000223670573	0	0	0	0	0	3
10	2	0	0.25	293.20069	293.200255	293.199983	293.20069	0.000271919629	0	0	0	0	0	3
11	2	0	0.275	293.200898	293.200314	293.199983	293.200898	0.000330335296	0	0	0	0	0	3
12	2	0	0.3	293.200742	293.200349	293.199983	293.200898	0.000366062035	0	0	0	0	0	3
13	2	0	0.325	293.200725	293.200378	293.199983	293.200898	0.0003949104	0	0	0	0	0	3
14	2	0	0.35	293.200762	293.200406	293.199983	293.200898	0.000422283514	0	0	0	0	0	3
15	2	0	0.375	293.200884	293.200438	293.199983	293.200898	0.000454173799	0	0	0	0	0	3
16	3	0	0.4	293.200976	293.200471	293.199983	293.200976	0.000487852742	0	0	0	0	0	3
17	3	0	0.425	293.201136	293.20051	293.199983	293.201136	0.000526980113	0	0	0	0	0	3
18	3	0	0.45	293.201189	293.200548	293.199983	293.201189	0.000564666465	0	0	0	0	0	3
19	3	0	0.475	293.201317	293.200589	293.199983	293.201317	0.000605113008	0	0	0	0	0	3
20	3	0	0.5	293.201484	293.200633	293.199983	293.201484	0.000649907659	0	0	0	0	0	3
